============================================================
JMdict Multilingual Import
============================================================
Source: data/JMdict_e
Target: data/dictionary_full_multilingual.sqlite

Creating database: data/dictionary_full_multilingual.sqlite
Parsing XML: data/JMdict_e
Imported 198000 entries, 230137 senses (CN-simp: 0, CN-trad: 0)...
Imported 199000 entries, 231242 senses (CN-simp: 0, CN-trad: 0)...
Imported 200000 entries, 232303 senses (CN-simp: 0, CN-trad: 0)...
Imported 201000 entries, 233361 senses (CN-simp: 0, CN-trad: 0)...
Imported 202000 entries, 234436 senses (CN-simp: 0, CN-trad: 0)...
Imported 203000 entries, 235547 senses (CN-simp: 0, CN-trad: 0)...
Imported 204000 entries, 236656 senses (CN-simp: 0, CN-trad: 0)...
Imported 205000 entries, 237710 senses (CN-simp: 0, CN-trad: 0)...
Imported 206000 entries, 238775 senses (CN-simp: 0, CN-trad: 0)...
Imported 207000 entries, 239836 senses (CN-simp: 0, CN-trad: 0)...
Imported 208000 entries, 240918 senses (CN-simp: 0, CN-trad: 0)...
Imported 209000 entries, 241941 senses (CN-simp: 0, CN-trad: 0)...
Imported 210000 entries, 242957 senses (CN-simp: 0, CN-trad: 0)...
Imported 211000 entries, 243963 senses (CN-simp: 0, CN-trad: 0)...
Imported 212000 entries, 244984 senses (CN-simp: 0, CN-trad: 0)...
Imported 213000 entries, 246000 senses (CN-simp: 0, CN-trad: 0)...

=== Import Complete ===
Total entries: 213,730
Total senses: 246,742
Senses with Chinese (Simplified): 0
Senses with Chinese (Traditional): 0

=== Database Statistics ===
Dictionary entries: 427,460
Word senses: 493,484
FTS index: 427,460
Entries with Simplified Chinese: 0 (0.00%)
Entries with Traditional Chinese: 0 (0.00%)

✅ Import completed successfully!
